author,title,rating,totalratings,genre_list
John Green,The Fault in Our Stars,4.19,3819326,Romance|Contemporary|Realistic Fiction|Teen|Coming Of Age|Drama|Love
Veronica Roth,Divergent,4.18,3099689,Science Fiction|Dystopia|Fantasy|Science Fiction|Romance|Adventure|Teen|Apocalyptic|Post Apocalyptic|Action
J.K. Rowling,Harry Potter and the Deathly Hallows,4.62,2984351,Fantasy|Fantasy|Magic|Adventure|Middle Grade|Classics|Science Fiction Fantasy
"George Orwell,Russell Baker,C.M. Woodhouse",Animal Farm,3.96,2938072,Classics|Science Fiction|Dystopia|Fantasy|Literature|Politics|Academic|School|Science Fiction|Academic|Read For School
"J.K. Rowling,Mary GrandPrÃ©",Harry Potter and the Chamber of Secrets,4.43,2934616,Fantasy|Fantasy|Magic|Middle Grade|Adventure|Classics|Science Fiction Fantasy
C.S. Lewis,"The Lion, the Witch and the Wardrobe",4.22,2256904,Fantasy|Classics|Middle Grade|Adventure|Christian|Fantasy|Magic|Christian Fiction
George R.R. Martin,A Game of Thrones,4.44,2097707,Fantasy|Fantasy|Epic Fantasy|Science Fiction Fantasy|Fantasy|High Fantasy|Adventure|Fantasy|Dragons|Epic
Alice Sebold,The Lovely Bones,3.82,2095009,Mystery|Contemporary|Fantasy|Mystery|Crime|Adult Fiction|Drama|Thriller
E.L. James,Fifty Shades of Grey,3.66,2070036,Romance|Adult Fiction|Erotica|Erotica|BDSM|Contemporary|Womens Fiction|Chick Lit|Romance|Contemporary Romance|Romance|Erotic Romance|Adult Fiction
Ray Bradbury,Fahrenheit 451,3.99,1803486,Classics|Science Fiction|Science Fiction|Dystopia|Academic|School|Literature|Fantasy|Science Fiction Fantasy
"Charlotte BrontÃ«,Michael Mason,SylvÃ¨re Monod,Barnett Freedman",Jane Eyre,4.13,1711230,Classics|Romance|Historical|Historical Fiction|Gothic|Literature|Historical|Literature|19th Century|Academic|School|Classics|Classic Literature
Christopher Paolini,Eragon,3.91,1506769,Fantasy|Fantasy|Dragons|Adventure|Fantasy|Magic|Fantasy|High Fantasy|Science Fiction Fantasy|Young Adult Fantasy
"Antoine de Saint-ExupÃ©ry,Richard Howard,Ivan Minatti,Nguyá»…n ThÃ nh VÅ©",The Little Prince,4.31,1501942,Classics|Fantasy|Cultural|France|Philosophy|Literature|Middle Grade|European Literature|French Literature
Stephenie Meyer,Breaking Dawn,3.71,1400187,Fantasy|Romance|Paranormal|Vampires|Fantasy|Paranormal|Romance|Paranormal Romance|Fantasy|Supernatural|Shapeshifters|Werewolves|Fantasy|Urban Fantasy
Philip Pullman,The Golden Compass,3.99,1344484,Fantasy|Adventure|Science Fiction|Middle Grade|Science Fiction Fantasy|Science Fiction|Steampunk|Classics
Mark Haddon,The Curious Incident of the Dog in the Night-Time,3.89,1255546,Mystery|Contemporary|Classics|Psychology|Literature|Realistic Fiction|Academic|School
Veronica Roth,Insurgent,4.01,1238211,Science Fiction|Dystopia|Fantasy|Science Fiction|Romance|Adventure|Teen|Apocalyptic|Post Apocalyptic|Action
Khaled Hosseini,A Thousand Splendid Suns,4.38,1218044,Historical|Historical Fiction|Contemporary|Historical|War|Adult Fiction|Drama|Literature
Stephen King,The Shining,4.24,1192500,Horror|Thriller|Classics|Fantasy|Mystery|Fantasy|Paranormal|Suspense
Jodi Picoult,My Sister's Keeper,4.08,1091116,Contemporary|Womens Fiction|Chick Lit|Drama|Adult Fiction|Realistic Fiction|Family
Walter Isaacson,Steve Jobs,4.14,1026052,Biography|Business|Science|Technology|History|Biography Memoir|Leadership|Autobiography|Memoir|Biography|Autobiography
"Elie Wiesel,Marion Wiesel,FranÃ§ois Mauriac",Night,4.34,1023592,Classics|History|Autobiography|Memoir|World War II|Holocaust|Biography|Academic|School|Historical|War|War|World War II
Kiera Cass,The Selection,4.12,1012178,Romance|Science Fiction|Dystopia|Fantasy|Science Fiction|Teen|Womens Fiction|Chick Lit|Young Adult Fantasy
"Jane Austen,Tony Tanner,Juliet Stevenson,Sam Ngo,Sara Singh,Rosalind Ballaster,Ros Ballaster",Sense and Sensibility,4.08,1001748,Classics|Romance|Historical|Historical Fiction|Literature|Historical|Classics|Classic Literature|Literature|19th Century|European Literature|British Literature
"Bram Stoker,Nina Auerbach,David J. Skal",Dracula,4.0,998401,Classics|Horror|Fantasy|Paranormal|Vampires|Gothic|Fantasy|Paranormal|Literature|Literature|19th Century
Stephenie Meyer,The Host,3.84,929576,Science Fiction|Fantasy|Romance|Science Fiction|Dystopia|Fantasy|Paranormal|Science Fiction|Aliens|Romance|Paranormal Romance
Rainbow Rowell,Eleanor & Park,4.03,926692,Romance|Contemporary|Realistic Fiction|Teen|Coming Of Age|Young Adult Contemporary|High School
Agatha Christie,And Then There Were None,4.26,916626,Mystery|Classics|Mystery|Crime|Thriller|Thriller|Mystery Thriller|Suspense
"Homer,Robert Fagles,Bernard Knox",The Odyssey,3.78,898828,Classics|Poetry|Fantasy|Mythology|Fantasy|Academic|School|Literature|Adventure|Academic|Read For School|Historical|Historical Fiction
Diana Gabaldon,Outlander,4.23,874998,Historical|Historical Fiction|Romance|Fantasy|Science Fiction|Time Travel|Historical|Romance|Historical Romance|Cultural|Scotland
George R.R. Martin,A Clash of Kings,4.41,817634,Fantasy|Fantasy|Epic Fantasy|Science Fiction Fantasy|Fantasy|High Fantasy|Adventure|Fantasy|Dragons|Epic
R.J. Palacio,Wonder,4.42,810875,Middle Grade|Contemporary|Realistic Fiction|Academic|School|Family|Coming Of Age|Juvenile
Cassandra Clare,City of Ashes,4.15,798067,Fantasy|Fantasy|Paranormal|Romance|Fantasy|Urban Fantasy|Paranormal|Vampires|Fantasy|Supernatural|Paranormal|Angels|Fantasy|Magic
